
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
  [109/749] [CACHED] C_Clamps_03/C_Clamps_03.STEP — 10 nodes
  [110/749] [CACHED] C_Clamps_04/C_Clamps_04.stp — 10 nodes
  [111/749] [CACHED] C_Clamps_05/C_Clamps_05.STEP — 5 nodes
  [112/749] [CACHED] C_Clamps_06/C_Clamps_06.stp — 9 nodes
  [113/749] [CACHED] C_Clamps_07/C_Clamps_07.stp — 7 nodes
  [114/749] [CACHED] C_Clamps_08/C_Clamps_08.stp — 2 nodes
  [115/749] [CACHED] C_Clamps_09/C_Clamps_09.STEP — 9 nodes
  [116/749] [CACHED] C_Clamps_10/C_Clamps_10.stp — 7 nodes
  [117/749] [CACHED] C_Clamps_100/C_Clamps_100.stp — 7 nodes
  [118/749] [CACHED] C_Clamps_101/C_Clamps_101.STEP — 4 nodes
  [119/749] [CACHED] C_Clamps_102/C_Clamps_102.STEP — 27 nodes
  [120/749] [CACHED] C_Clamps_103/C_Clamps_103.stp — 4 nodes
  [121/749] [CACHED] C_Clamps_104/C_Clamps_104.stp — 15 nodes
  [122/749] [CACHED] C_Clamps_105/C_Clamps_105.stp — 4 nodes
  [123/749] [CACHED] C_Clamps_106/C_Clamps_106.stp — 4 nodes
  [124/749] [CACHED] C_Clamps_107/C_Clamps_107.STEP — 6 nodes
  [125/749] [CACHED] C_Clamps_108/C_Clamps_108.stp — 10 nodes
  [126/749] [CACHED] C_Clamps_109/C_Clamps_109.stp — 14 nodes
  [127/749] [CACHED] C_Clamps_11/C_Clamps_11.STEP — 2 nodes
  [128/749] [CACHED] C_Clamps_110/C_Clamps_110.step — 29 nodes
  [129/749] [CACHED] C_Clamps_111/C_Clamps_111.stp — 7 nodes
  [130/749] [CACHED] C_Clamps_112/C_Clamps_112.stp — 6 nodes
  [131/749] [CACHED] C_Clamps_113/C_Clamps_113.step — 38 nodes
  [132/749] [CACHED] C_Clamps_114/C_Clamps_114.stp — 11 nodes
  [133/749] [CACHED] C_Clamps_115/C_Clamps_115.step — 15 nodes
  [134/749] [CACHED] C_Clamps_116/C_Clamps_116.stp — 5 nodes
  [135/749] [CACHED] C_Clamps_12/C_Clamps_12.stp — 5 nodes
  [136/749] [CACHED] C_Clamps_13/C_Clamps_13.STEP — 6 nodes
  [137/749] [CACHED] C_Clamps_14/C_Clamps_14.STEP — 4 nodes
  [138/749] [CACHED] C_Clamps_15/C_Clamps_15.stp — 4 nodes
  [139/749] [CACHED] C_Clamps_16/C_Clamps_16.stp — 10 nodes
  [140/749] [CACHED] C_Clamps_18/C_Clamps_18.stp — 3 nodes
  [141/749] [CACHED] C_Clamps_19/C_Clamps_19.stp — 6 nodes
  [142/749] [CACHED] C_Clamps_20/C_Clamps_20.stp — 2 nodes
  [143/749] [CACHED] C_Clamps_21/C_Clamps_21.STEP — 6 nodes
  [144/749] [CACHED] C_Clamps_22/C_Clamps_22.stp — 7 nodes
  [145/749] [CACHED] C_Clamps_23/C_Clamps_23.STEP — 16 nodes
  [146/749] [CACHED] C_Clamps_26/C_Clamps_26.stp — 11 nodes
  [147/749] [CACHED] C_Clamps_28/C_Clamps_28.step — 10 nodes
  [148/749] [CACHED] C_Clamps_29/C_Clamps_29.stp — 7 nodes
  [149/749] [CACHED] C_Clamps_31/C_Clamps_31.stp — 6 nodes
  [150/749] [CACHED] C_Clamps_32/C_Clamps_32.step — 10 nodes
  [151/749] [CACHED] C_Clamps_33/C_Clamps_33.stp — 9 nodes
