
==================================================================
[2026-08-06 01:28:13] Starting training (attempt 1/3, start_fold=0)
==================================================================
[2026-08-06 01:28:13] Training PID=47219 started (start_fold=0, attempt=1)
[180m4s] Ep   4/200  loss=1.5290  AUC=0.5431  AP=0.7693  (152.8s)
[181m4s] Ep   5/200  loss=1.5067  AUC=0.5816  AP=0.7856  (127.6s)
[182m4s] Ep   5/200  loss=1.5067  AUC=0.5816  AP=0.7856  (127.6s)
[183m5s] Ep   5/200  loss=1.5067  AUC=0.5816  AP=0.7856  (127.6s)
[184m5s] Ep   6/200  loss=1.4642  AUC=0.6211  AP=0.8063  (164.9s)
[185m5s] Ep   6/200  loss=1.4642  AUC=0.6211  AP=0.8063  (164.9s)
[186m5s] Ep   6/200  loss=1.4642  AUC=0.6211  AP=0.8063  (164.9s)
[187m5s] Ep   7/200  loss=1.3638  AUC=0.6008  AP=0.8064  (186.8s)
[188m5s] Ep   7/200  loss=1.3638  AUC=0.6008  AP=0.8064  (186.8s)
[189m5s] Ep   8/200  loss=1.3809  AUC=0.5431  AP=0.7837  (127.0s)
[190m5s] Ep   8/200  loss=1.3809  AUC=0.5431  AP=0.7837  (127.0s)
[191m5s] Ep   9/200  loss=1.3304  AUC=0.5718  AP=0.7889  (149.3s)
[192m5s] Ep   9/200  loss=1.3304  AUC=0.5718  AP=0.7889  (149.3s)
[193m5s] Ep   9/200  loss=1.3304  AUC=0.5718  AP=0.7889  (149.3s)
[194m5s] Ep  10/200  loss=1.3564  AUC=0.5448  AP=0.7700  (134.5s)
[210m33s] Ep  10/200  loss=1.3564  AUC=0.5448  AP=0.7700  (134.5s)
[226m41s] Ep  11/200  loss=1.3476  AUC=0.5900  AP=0.7864  (1999.0s)
[234m47s] Ep  11/200  loss=1.3476  AUC=0.5900  AP=0.7864  (1999.0s)
[253m19s] Ep  12/200  loss=1.2759  AUC=0.6138  AP=0.8081  (628.6s)
[269m24s] Ep  12/200  loss=1.2759  AUC=0.6138  AP=0.8081  (628.6s)
[281m19s] Ep  12/200  loss=1.2759  AUC=0.6138  AP=0.8081  (628.6s)
[297m57s] Ep  13/200  loss=1.2764  AUC=0.6324  AP=0.8235  (3620.3s)
[314m18s] Ep  13/200  loss=1.2764  AUC=0.6324  AP=0.8235  (3620.3s)
[347m29s] Ep  14/200  loss=1.2217  AUC=0.6348  AP=0.8167  (1977.5s)
[356m37s] Ep  14/200  loss=1.2217  AUC=0.6348  AP=0.8167  (1977.5s)
[364m26s] Ep  14/200  loss=1.2217  AUC=0.6348  AP=0.8167  (1977.5s)
[365m26s] Ep  15/200  loss=1.2526  AUC=0.6246  AP=0.8040  (2045.0s)
[366m26s] Ep  15/200  loss=1.2526  AUC=0.6246  AP=0.8040  (2045.0s)
[367m26s] Ep  16/200  loss=1.2635  AUC=0.5994  AP=0.7822  (139.4s)
[368m26s] Ep  16/200  loss=1.2635  AUC=0.5994  AP=0.7822  (139.4s)
[369m26s] Ep  17/200  loss=1.2204  AUC=0.5865  AP=0.7941  (137.8s)
[370m26s] Ep  17/200  loss=1.2204  AUC=0.5865  AP=0.7941  (137.8s)
[371m26s] Ep  18/200  loss=1.1959  AUC=0.6155  AP=0.8045  (116.5s)
[372m26s] Ep  18/200  loss=1.1959  AUC=0.6155  AP=0.8045  (116.5s)
[373m26s] Ep  18/200  loss=1.1959  AUC=0.6155  AP=0.8045  (116.5s)
[374m26s] Ep  19/200  loss=1.1942  AUC=0.6296  AP=0.8114  (165.7s)
